,case:id,case:concept:name,concept:name,Variant,time:timestamp,Question,Report,Year,Category,Type,Tupla,Organization
0,A2 P4 BPI 2020,A2 P4 BPI 2020,Filter activities,Filter activities by sub-processes,2022-03-11 19:24:15.966942,P4,A2,2020,Student,Manipulation,A22020,"Faculty of Science, Utrecht University"
1,A2 P4 BPI 2020,A2 P4 BPI 2020,Group activities,Group activities by sub-processes,2022-03-11 20:24:15.966942,P4,A2,2020,Student,Manipulation,A22020,"Faculty of Science, Utrecht University"
2,A2 P4 BPI 2020,A2 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2022-03-11 21:24:15.966942,P4,A2,2020,Student,Analyze Time,A22020,"Faculty of Science, Utrecht University"
3,A7 P4 BPI 2020,A7 P4 BPI 2020,Group activities,Group activities by role,2022-03-11 22:24:15.966942,P4,A7,2020,Academic,Manipulation,A72020,German Research Center for Artificial Intelligence (DFKI)
4,A7 P4 BPI 2020,A7 P4 BPI 2020,Calculate throughput,Calculate throughput,2022-03-11 23:24:15.966942,P4,A7,2020,Academic,Analyze Time,A72020,German Research Center for Artificial Intelligence (DFKI)
5,A7 P4 BPI 2020,A7 P4 BPI 2020,Group activities,Group activities by time,2022-03-12 00:24:15.966942,P4,A7,2020,Academic,Manipulation,A72020,German Research Center for Artificial Intelligence (DFKI)
6,A7 P4 BPI 2020,A7 P4 BPI 2020,Calculate number of elements,Calculate number of activities,2022-03-12 01:24:15.966942,P4,A7,2020,Academic,Calculate statistics,A72020,German Research Center for Artificial Intelligence (DFKI)
7,A7 P4 BPI 2020,A7 P4 BPI 2020,Represent scatterplot of cycle time and an attribute,Represent scatterplot of cycle time and an attribute,2022-03-12 02:24:15.966942,P4,A7,2020,Academic,Representation,A72020,German Research Center for Artificial Intelligence (DFKI)
8,A10 P4 BPI 2020,A10 P4 BPI 2020,Represent process map,Represent process map with cycle time,2022-03-12 03:24:15.966942,P4,A10,2020,Academic,Representation,A102020,"Internal Audit Department, Rostov-on-Don"
9,A10 P4 BPI 2020,A10 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2022-03-12 04:24:15.966942,P4,A10,2020,Academic,Analyze Time,A102020,"Internal Audit Department, Rostov-on-Don"
